#          time               [KKK-P]               [KK-PP]              [K-PP]
      0.62600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.62800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.63000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.63200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.63400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.63600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.63800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.64000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.64200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.64400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.64600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.64800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.65000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.65200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.65400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.65600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.65800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.66000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.66200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.66400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.66600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.66800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.67000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.67200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.67400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.67600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.67800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.68000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.68200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.68400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.68600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.68800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.69000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.69200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
